timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666552188790,643120,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-2,text,true,,2618,0,6,6,null,0,0,0
1666552185458,650384,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-1,text,true,,2607,0,5,5,null,0,0,0
1666552192138,661613,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-3,text,true,,2618,0,4,4,null,0,0,0
1666552195457,659853,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-4,text,true,,2607,0,3,3,null,0,0,0
1666552202133,664592,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-6,text,true,,2604,0,2,2,null,0,0,0
1666552198781,673277,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-5,text,true,,2609,0,1,1,null,0,0,0
