timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666570923172,566561,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-1,text,true,,2608,0,7,7,null,0,0,0
1666570933860,569533,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-4,text,true,,2618,0,6,6,null,0,0,0
1666570941033,577001,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-6,text,true,,2620,0,5,5,null,0,0,0
1666570944592,573817,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-7,text,true,,2618,0,4,4,null,0,0,0
1666570926718,592632,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-2,text,true,,2635,0,3,3,null,0,0,0
1666570930288,590354,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-3,text,true,,2615,0,2,2,null,0,0,0
1666570937457,588741,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-5,text,true,,2629,0,1,1,null,0,0,0
