timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666573223486,608587,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-3,text,true,,2635,0,7,7,null,0,0,0
1666573216334,623241,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-1,text,true,,2615,0,6,6,null,0,0,0
1666573227042,617649,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-4,text,true,,2632,0,5,5,null,0,0,0
1666573237753,607394,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-7,text,true,,2623,0,4,4,null,0,0,0
1666573219902,626087,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-2,text,true,,2614,0,3,3,null,0,0,0
1666573234180,614942,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-6,text,true,,2624,0,2,2,null,0,0,0
1666573230617,629257,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-5,text,true,,2614,0,1,1,null,0,0,0
