timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666550295805,540006,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-1,text,true,,2627,0,5,5,null,0,0,0
1666550303793,547354,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-3,text,true,,2632,0,4,4,null,0,0,0
1666550307792,545738,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-4,text,true,,2628,0,3,3,null,0,0,0
1666550299804,554522,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-2,text,true,,2634,0,2,2,null,0,0,0
1666550311785,547457,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-5,text,true,,2617,0,1,1,null,0,0,0
