timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666549199646,539501,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-3,text,true,,2618,0,5,5,null,0,0,0
1666549195648,547176,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-2,text,true,,2624,0,4,4,null,0,0,0
1666549207663,536087,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-5,text,true,,2629,0,3,3,null,0,0,0
1666549191637,554776,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-1,text,true,,2629,0,2,2,null,0,0,0
1666549203673,553005,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-4,text,true,,2620,0,1,1,null,0,0,0
