timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1666648736228,643609,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-1,text,true,,2632,0,5,5,null,0,0,0
1666648740207,646876,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-2,text,true,,2638,0,4,4,null,0,0,0
1666648744202,650100,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-3,text,true,,2627,0,3,3,null,0,0,0
1666648752239,645342,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-5,text,true,,2626,0,2,2,null,0,0,0
1666648748207,649681,OS Process Sampler,0,OK,10.75.4.82-Thread Group 1-4,text,true,,2634,0,1,1,null,0,0,0
